ANT1,16.97,14.43,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,17.05,9.06,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-8.05,-0.53,90.00,10uF,PERFECT_0402_0402
C10,16.79,4.03,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,16.82,4.83,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,14.53,8.09,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,13.53,6.65,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,8.52,6.90,180.00,4.7uF,PERFECT_0402_0402
C15,11.27,8.34,0.00,1.0uF,PERFECT_0402_0402
C16,10.51,6.35,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,5.28,3.92,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,6.01,3.43,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,17.33,-2.61,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,18.61,7.54,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-1.43,-6.49,90.00,4.7uF/25V,PERFECT_0402_0402
C20,7.58,-1.64,180.00,4.7uF,PERFECT_0402_0402
C21,9.00,-2.94,180.00,4.7uF,PERFECT_0402_0402
C22,20.12,7.26,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,9.48,-5.76,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C24,4.97,-8.44,270.00,10uF,PERFECT_0402_0402
C25,3.66,-11.94,90.00,22uF,PERFECT_0402_0402
C27,20.85,-7.51,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,8.04,-13.90,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,22.23,8.39,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-13.86,-13.91,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,-3.01,-13.93,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,18.37,-9.18,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,2.55,-11.95,90.00,22uF,PERFECT_0402_0402
C34,14.16,-12.91,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,0.93,-6.91,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C38,-1.09,-4.05,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C39,3.74,-8.43,270.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,20.96,7.27,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,7.08,9.13,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,7.39,10.11,0.00,4.7uF,PERFECT_0402_0402
C5,6.22,4.79,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,7.36,0.52,180.00,4.7uF,PERFECT_0402_0402
C7,13.13,-1.97,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,15.28,-1.88,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,16.59,2.01,0.00,"820pF N.C.",NORDIC_NRF_3_RESC0201_L
D2,-7.92,-9.33,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,3.94,7.76,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-2.76,-9.34,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-4.75,-5.98,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-9.16,5.86,270.00,1uF/50V,PERFECT_0402_0402
EPD_C10,-9.65,-4.34,180.00,1uF/50V,PERFECT_0402_0402
EPD_C11,-8.10,-4.87,270.00,1uF/50V,PERFECT_0402_0402
EPD_C12,-10.07,-5.73,180.00,1uF/50V,PERFECT_0402_0402
EPD_C2,-6.43,7.10,180.00,1uF/50V,PERFECT_0402_0402
EPD_C5,-9.31,-0.52,270.00,1uF/50V,PERFECT_0402_0402
EPD_C6,-9.74,-2.39,180.00,1uF/50V,PERFECT_0402_0402
EPD_C7,-6.63,-2.24,180.00,1uF/50V,PERFECT_0402_0402
EPD_C8,-4.21,-2.24,180.00,1uF/50V,PERFECT_0402_0402
EPD_C9,-6.17,-3.72,180.00,1uF/50V,PERFECT_0402_0402
IC1,2.72,-3.94,180.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,17.85,-11.47,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,15.81,-5.07,90.00,BMA423,BMA423_BMA423
IC9,8.62,-8.56,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.70,0.00,270.00,503480-2400,503480-2400_5034802400
J2,-11.06,12.70,180.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,0.00,13.84,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,21.47,9.38,180.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,9.76,8.52,90.00,10uH,NORDIC_NRF_2_RESC0402_L
L3,10.25,10.04,0.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-2.20,1.82,180.00,"68 uH",ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,12.02,-8.48,270.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,-14.87,-9.73,270.00,"DMG2305UX-7 20V/4.2A/52mΩ/1.4W",ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-3.07,6.41,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,19.85,-1.87,90.00,3K3,ERA-1AEB3401C_0201
R18,18.26,-7.60,90.00,3K3,ERA-1AEB3401C_0201
R1_EP_DR,-8.14,5.47,90.00,0.47,ERA-1AEB3401C_0201
R1_USB,1.23,10.12,180.00,5K1,CPF0201D7K68C1_0201
R2,5.82,-4.59,0.00,0,ERA-1AEB3401C_0201
R2_EP_DR,-5.19,7.40,180.00,10K,ERA-1AEB3401C_0201
R2_USB,-1.48,10.41,90.00,5K1,CPF0201D7K68C1_0201
R3,18.68,-5.29,0.00,0,CPF0201D7K68C1_0201
R4,7.99,-4.55,0.00,0,ERA-1AEB3401C_0201
R5,-13.87,-12.33,180.00,10k,CPF0201D7K68C1_0201
R7,8.06,-12.37,180.00,10k,CPF0201D7K68C1_0201
R8,-2.89,-12.33,180.00,10k,CPF0201D7K68C1_0201
R9,2.53,-1.77,270.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,-17.07,-10.38,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-8.65,4.61,90.00,2.2,ERA-1AEB3401C_0201
SJ1,-9.11,3.15,0.00,0,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,10.96,-14.00,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-0.08,-14.03,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-10.94,-13.99,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,-15.72,-15.43,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,6.81,-15.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,14.83,-15.65,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-6.01,-15.52,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,17.54,-15.46,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
